Name;Category;Sub-Category;Identifier;Description;Scale;Unit;Metrics;Single;
functional suitability: document: handling of not allowed JavaScript;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/document/handlingOfNotAllowedJavaScript;Method the action-tool handles JavaScript if it is not permitted in the outcome.;Ordinal: remove/leave unchanged;;;;
functional suitability: document: handling of not allowed moving images;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/document/handlingOfNotAllowedMovingImages;Method the action-tool handles a moving image if it is not permitted in the outcome.;Ordinal: convert to still image/remove/leave unchanged;;;;
functional suitability: error reporting;action;functional suitability;functionalSuitability/functionalCompleteness/generic/errorReporting;Indicates whether errors at action execution are reported.;Boolean;;;Y;
functional suitability: fraction of objects supported;action;functional suitability;functionalSuitability/functionalCompleteness/generic/fractionOfObjectsSupported;Objects supported by the action-tool as percentage of overall objects of this type available.;Positive Number;percent;;Y;
functional suitability: image: XMP sidecar file support;action;functional suitability;functionalSuitability/functionalCompleteness/image/XMPSidecarFileSupport;Indicates if the action-tool is able to handle XMP sidecar files.;Boolean;;;Y;
functional suitability: input-object validation;action;functional suitability;functionalSuitability/functionalCompleteness/generic/inputObjectValidation;Indicates if the action-tool validates the input-object before processing.;Boolean;;;Y;
functional suitability: macro support;action;functional suitability;functionalSuitability/functionalCompleteness/generic/macroSupport;Indicates if the action-tool supports macros.;Boolean;;;Y;
functional suitability: number of input-formats supported;action;functional suitability;functionalSuitability/functionalCompleteness/generic/numberInputFormats;Number of input-formats supported by the action-tool.;Positive Integer;Formats;;Y;
functional suitability: number of objects supported;action;functional suitability;functionalSuitability/functionalCompleteness/generic/numberOfObjectsSupported;Total number of objects supported by the action-tool.;Ordinal: Less than 10/10-100/101-500/501-2000/more than 2000;;;Y;
functional suitability: number of output-formats supported;action;functional suitability;functionalSuitability/functionalCompleteness/generic/numberOutputFormats;Number of output-formats supported by the action-tool.;Positive Integer;Formats;;Y;
functional suitability: output-file format verification;action;functional suitability;functionalSuitability/functionalCompleteness/generic/outputFileFormatVerification;Indicates if the action-tool verifies its produced output file for format correctness.;Boolean;;;Y;
functional suitability: reported errors contain handling advice;action;functional suitability;functionalSuitability/functionalCompleteness/generic/reportedErrorsContainHandlingAdvice;Indicate whether reported error contain a handling advice/suggestion.;Boolean;;;Y;
functional suitability: retain filename;action;functional suitability;functionalSuitability/functionalCompleteness/generic/retainFilename;Indicates if the action-tool is able to retain the filename of the input-file for the output-file.;Boolean;;;Y;
functional suitability: understandability of reported errors;action;functional suitability;functionalSuitability/functionalCompleteness/generic/understandabilityOfReportedErrors;Indicates tho which degree reported errors are understandable to human users.;Ordinal: good/acceptable/poor/no;;;Y;
functional suitability: video games: byte-stream media support;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/byteStreamMediaSupport;The way the action-tool supports byte stream media.;Ordinal: not applicable/not supported/supported as stand-alone file/supported encapsulated in file;;;Y;
functional suitability: video games: cd-rom support;action;functional suitability;functionalSuitability/functionalCompleteness/generic/cdRomSupport;Indicates whether the action-tool is able to access and use the cd-rom drive.;Boolean;;;Y;
functional suitability: video games: displays box artwork;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/displaysBoxArtwork;Indicates whether the action-tool is capable of displaying the box artwork.;Boolean;;;Y;
functional suitability: video games: displays context details;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/displaysContextDetails;Indicates whether the action-tool is capable of displaying the context details.;Boolean;;;Y;
functional suitability: video games: displays description of original media;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/displaysDescriptionOfOriginalMedia;Indicates whether the action-tool is capable of displaying the description of the original media.;Boolean;;;Y;
functional suitability: video games: displays manual;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/displaysManual;Indicates whether the action-tool is capable of displaying the manual.;Boolean;;;Y;
functional suitability: video games: displays necessary system configuration;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/displaysNecessarySystemConfiguration;Indicates whether the action-tool is capable of displaying the necessary system configuration.;Boolean;;;Y;
functional suitability: video games: displays original media;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/displaysOriginalMedia;Indicates whether the action-tool is capable of displaying the original media.;Boolean;;;Y;
functional suitability: video games: displays originally supplied additional itmes;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/displaysOriginallySuppliedAdditionalItems;Indicates whether the action-tool is capable of displaying the originally suplied additional items (like special controllers, accessories, etc.).;Boolean;;;Y;
functional suitability: video games: displays reference to console video game system;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/displaysReferenceToConsoleVideoGameSystem;Indicates whether the action-tool is capable of displaying the reference to the console video game system.;Boolean;;;Y;
functional suitability: video games: displays reference to preferred emulator;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/displaysReferenceToPreferredEmulator;Indicates whether the action-tool is capable of displaying the reference to the preferred emulator.;Ordinal: yes - with system configuration/yes - without system configuration/no;;;Y;
functional suitability: video games: displays region lock-out information;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/displaysRegionLockOutInformation;Indicates whether the action-tool is capable of displaying the region lock-out information.;Boolean;;;Y;
functional suitability: video games: displays TV standard information;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/displaysTvStandardInformation;Indicates whether the action-tool is capable of displaying the TV standard information.;Boolean;;;Y;
functional suitability: video games: displays video display frequency information;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/displaysDisplayFrequencyInformation;Indicates whether the action-tool is capable of displaying the display frequency information.;Boolean;;;Y;
functional suitability: video games: game start mode;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/gameStartMode;indicates in which way video games can be started by the action-tool.;Ordinal: command line/user interface/ command line and user interface;;;Y;
functional suitability: video games: keyboard support;action;functional suitability;functionalSuitability/functionalCompleteness/generic/keyboardSupport;Indicates whether the action-tool is able to access and use the keyboard.;Boolean;;;Y;
functional suitability: video games: mouse support;action;functional suitability;functionalSuitability/functionalCompleteness/generic/mouseSupport;Indicates whether the action-tool is able to access and use the mouse.;Boolean;;;Y;
functional suitability: video games: necessary accessories supported;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/necessaryAccessoriesSupported;Indicates in which way necessary accessories (e.g. special controller mandatory for playing a video game) are supported by the action-tool.;Ordinal: not applicable/Y/N;;;Y;
functional suitability: video games: original accessories supported;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/originalAccessoriesSupported;Indicates in which way original accessories (special controller, etc.) are supported by the action-tool.;Ordinal: not applicable/not supported/supported with special hardware/supported without special hardware;;;Y;
functional suitability: video games: original media support;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/originalMediaSupport;The way the action-tool supports original media.;Ordinal: not applicable/not supported/supported with special hardware/supported without special hardware;;;Y;
functional suitability: video games: OS communication type;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/osCommunicationType;The way the action-tool communicates with the operating system.;Ordinal: native/none/via network/via virtual media;;;Y;
functional suitability: video games: OS pre-installed;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/osPreInstalled;Property especially for emulator action-tools. It indicates if there is an OS preinstalled in the emulated environment.;Boolean;;;Y;
functional suitability: video games: recreation level;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/recreationLevel;Indicates on which levels the action-tool operates to be able to run the video game.;Ordinal: high level and no BIOS is needed/low level and no BIOS is needed/high level and BIOS is needed/low level and BIOS is needed;;;Y;
functional suitability: video games: sound support;action;functional suitability;functionalSuitability/functionalCompleteness/generic/soundSupport;Indicates whether sound output is supported by the action tool.;Boolean;;;Y;
functional suitability: video games: supported media types;action;functional suitability;functionalSuitability/functionalCompleteness/contentSpecific/videoGames/supportedMediaTypes;Media types supported by the action tool.;Ordinal: not applicable/neither byte-stream nor original media supported/original media but no byte stream supported/byte stream but not original media supported/byte stream and original media supported;;;Y;
maintainability: customization;action;maintainability;maintainability/modifiability/customization;Assessment of how easy it is to customize the action-tool according to specific user needs.;Ordinal: good/acceptable/poor/not possible;;;Y;
maintainability: modular design;action;maintainability;maintainability/modularity/modularDesign;Assessment of the action-tool design in terms of modularity.;Ordinal: yes/no/not observable;;;Y;
maintainability: plug-in system;action;maintainability;maintainability/modularity/plugInSystem;Indicates if and in what terms the action-tool implements plug-ins.;Ordinal: yes - open specification/yes - closed specification/no/not observable;;;Y;
performance efficiency: batch processing maximum files;action;performance efficiency;performanceEfficiency/capacity/batchProcessingMaxFiles;Maximum number of files supported at one batch run.;Positive Integer;Files;;Y;
performance efficiency: memory per MB-input;action;performance efficiency;performanceEfficiency/resourceUtilization/memoryPerMB;Memory used per megabyte of input, measured in megabyte.;Positive Number;MB/MB;;Y;
performance efficiency: memory per sample;action;performance efficiency;performanceEfficiency/resourceUtilization/memoryPerSample;Memory used per sample object, measured in megabytes.;Positive Number;MB;;Y;
performance efficiency: resource utilization;action;performance efficiency;performanceEfficiency/resourceUtilization/resourceUtilization;Indicates if and in which way the action-tool automatically uses available resources, like multiple processor cores, etc. to prallelize conversions.;Ordinal: yes-automatic/yes-manual/no;;;;
performance efficiency: throughput;action;performance efficiency;performanceEfficiency/timeBehaviour/throughput;Processing throughput, measured in megabytes per second.;Positive Number;ms;;Y;
performance efficiency: time per MB;action;performance efficiency;performanceEfficiency/timeBehaviour/timePerMB;Elapsed processing time used per MB, measured in milliseconds.;Positive Number;ms/MB;;Y;
performance efficiency: time per sample;action;performance efficiency;performanceEfficiency/timeBehaviour/timePerSample;Elapsed processing time used per sample object, measured in milliseconds.;Positive Number;ms;;Y;
portability: ease of integration in current environment;action;portability;portability/installability/easeOfIntegrationInCurrentEnvironment;Assessment of how easy it is to integrate the action-tool into the current used server environment.;Ordinal: good/acceptable/poor/not possible;;;Y;
portability: multiple platform support;action;portability;portability/installability/supportedPlattforms/multiplePlatformSupport;Indicates if the action-tool is capable of running on different platforms.;Boolean;;;Y;
portability: runs on Linux;action;portability;portability/installability/supportedPlattforms/linux;Indicates whether the action-tool runs on Linux operating systems.;Boolean;;;Y;
portability: runs on MacOS;action;portability;portability/installability/supportedPlattforms/macOS;Indicates whether the action-tool runs on MacOS operating systems.;Boolean;;;Y;
portability: runs on Windows;action;portability;portability/installability/supportedPlattforms/windows;Indicates whether the action-tool runs on Windows operating systems.;Boolean;;;Y;
reliability: active community;action;reliability;reliability/maturity/stabilityIndicators/activeCommunity;Indicates if the action-tool has an active comminity around.;Boolean;;;Y;
reliability: error correction;action;reliability;reliability/faultTolerance/errorCorrection;Indicates whether the action-tools is able to correct errors occured in the input-object or while converting it to the output-object.;Boolean;;;Y;
reliability: error tolerance;action;reliability;reliability/faultTolerance/errorTolerance;Indicates whether the action-tool is able to deal with errors in the input-object or while converting it to the output-object.;Boolean;;;Y;
reliability: manufacturer status;action;reliability;reliability/maturity/sustainabilityIndicators/manufacturerStatus;Business status of the action-tool manufacturer.;Ordinal: in business/no longer in same business/out of business;;;Y;
reliability: release cycle;action;reliability;reliability/maturity/stabilityIndicators/releaseCycle;The average action-tool release cycle.;Ordinal: 3 months/6 months/1 year/longer than 1 year;;;Y;
reliability: runtime stability;action;reliability;reliability/maturity/stability;Runtime stability of the action-tool.;Ordinal: stable/largely stable/unstable;;;Y;
reliability: support available;action;reliability;reliability/maturity/stabilityIndicators/supportAvailable;Indicates whether support is available for the action-tool.;Boolean;;;Y;
reliability: under development;action;reliability;reliability/maturity/stabilityIndicators/underDevelopment;Indicates whether the action-tool is still under development.;Boolean;;;Y;
usability: configuration method;action;usability;usability/operability/configurationMethod;Method the action-tool performs global system configuration.;Ordinal: internal only / external parameter / configuration file;;;Y;
usability: documentation availibility;action;usability;usability/learnability/documentation/availability;Availability of the action-tool documentation.;Ordinal: yes-free/yes-pay/no;;;Y;
usability: documentation quality;action;usability;usability/learnability/documentation/quality;Indicates the quality of the action-tool documentation.;Ordinal: complete/fragmentary/useless;;;Y;
usability: ease of administration;action;usability;usability/operability/easeOfAdministration;Assessment of how easy it is to administer the action-tool.;Ordinal: good/acceptable/poor;;;Y;
usability: ease of use;action;usability;usability/operability/easeOfUse;Assessment of how easy it is to use the action-tool.;Ordinal: good/acceptable/poor;;;Y;
usability: object configuration method;action;usability;usability/operability/objectConfigurationMethod;Method the action-tool performs object configuration.;Ordinal: internal only / external parameter / configuration file / object encapsulated config;;;Y;
archival storage;outcome;effect;costs/archivalStorage;Effects on archival storage costs.;Ordinal: increase/unchanged/decrease;;;;
automated quality assurance possible;outcome;effect;automatedQAPossible;Indicates if the outcome supports automated quality assurance.;Boolean;;;Y;
preservation watch and planning;outcome;effect;costs/preservationWatchAndPlanning;Effects on preservation watch an planning costs.;Ordinal: increase/unchanged/decrease;;;;
# of free tools (not open source);outcome;format;sustainability/adaption/toolSupport/nrOfFreeNotOpenSourceTools;Number of free, not open source tools which support the outcome format.;Positive Integer;# tools;;Y;
# of free tools (open source);outcome;format;sustainability/adaption/toolSupport/nrOfFreeOpenSourceTools;Number of free open source tools which support the outcome format.;Positive Integer;# tools;;Y;
# of proprietary tools;outcome;format;sustainability/adaption/toolSupport/nrOfProprietaryTools;Number of proprietary tools which support the outcome format.;Positive Integer;# tools;;Y;
# of tools;outcome;format;sustainability/adaption/toolSupport/nrOfTools;Number of all tools which support the outcome format.;Positive Integer;# tools;;Y;
backwards compatibility;outcome;format;sustainability/stability/backwardsCompatibility;Indicates whether the outcome format is backwards compatible to previous versions.;Boolean;;;Y;
complexity;outcome;format;sustainability/transparency/complexity;Complexity of the outcome format.;Ordinal: high/medium/low;;;Y;
compression;outcome;format;sustainability/transparency/compression;Compression used in outcome format.;Ordinal: none/lossless/lossy;;;Y;
database: support for column type datetime;outcome;format;qualityAndFunctionality/database/supportForColumnTypeDateTime;Indicates whether the outcome format supports the database column type DateTime.;Boolean;;;Y;
database: support for column type number;outcome;format;qualityAndFunctionality/database/supportForColumnTypeNumber;Indicates whether the outcome format supports the database column type Number.;Boolean;;;Y;
database: support for column type string;outcome;format;qualityAndFunctionality/database/supportForColumnTypeString;Indicates whether the outcome format supports the database column type String.;Boolean;;;Y;
documentation availability;outcome;format;sustainability/disclosure/documentation/availability;Availability of the outcome format documentation.;Ordinal: yes-free/yes-pay/no;;;Y;
documentation quality;outcome;format;sustainability/disclosure/documentation/quality;Indicates the quality of the outcome format documentation.;Ordinal: complete/fragmentary/useless;;;Y;
embed custom metadata;outcome;format;sustainability/selfDocumentation/metadata/embedCustomMetadata;Indicates whether additionaly metadata can be embedded in the outcome format.;Boolean;;;Y;
embed image metadata;outcome;format;sustainability/selfDocumentation/metadata/embedImageMetadata;Indicates whether image metadata can be embedded in the outcome format.;Boolean;;;Y;
embed preview image;outcome;format;sustainability/selfDocumentation/metadata/embedPreviewImage;Indicate whether a preview image can be embedded in the outcome format.;Boolean;;;Y;
error awareness;outcome;format;sustainability/recoverability/errorAwareness;Awareness to detect or recover errors.;Ordinal: revcoverable/detectable/none;;;Y;
identification possibilities;outcome;format;sustainability/disclosure/identificationPossibilities;Possibilies to identify the outcome format.;Ordinal: automatic_specific/automatic_generic/automatic_tentative/manual/none;;;Y;
image: interpreted data;outcome;format;qualityAndFunctionality/image/interpretedData;Indicates whether the image contains interpreted data.;Boolean;;;Y;
image: pdf creation possible;outcome;format;qualityAndFunctionality/image/pdfCreationPossible;Indicates whether it is possible to create a pdf from the outcome format.;Boolean;;;Y;
image: quality loss at reinterpretating;outcome;format;qualityAndFunctionality/image/qualityLossAtReinterpretating;Indicates whether a quality loss occurs at reinterpretating the image.;Ordinal: minimal/acceptable/not acceptable;;;Y;
image: zoom possible;outcome;format;qualityAndFunctionality/image/zoomPossible;Indicates whether the outcome format support zooming.;Boolean;;;Y;
licence costs for use;outcome;format;business/licenceCostsForUse;Indicates whether licence costs occur at using the outcome format.;Boolean;;;Y;
native browser support;outcome;format;sustainability/adoption/toolSupport/nativeBrowserSupport;Indicates whether the format can be natively displayed by browsers.;Boolean;;;Y;
ocr possible;outcome;format;sustainability/adoption/toolSupport/ocrPossible;Indicates whether tools exists which can apply optical character recognition successfully to the outcome format.;Boolean;;;Y;
readable as plain text;outcome;format;qualityAndFunctionality/readableAsPlainText;Indicates whether the outcome format is human readable as plain text.;Boolean;;;Y;
rights;outcome;format;sustainability/rights;Existence of rights applying to the outcome format.;Ordinal: open/ipr_protected/proprietary;;;Y;
speed of change;outcome;format;sustainability/stability/speedOfChange;Stability of the outcome format with respect to changes.;Ordinal: less than 1 year/1-2 years/3-5 years/more than 5 years;;;Y;
standardization;outcome;format;sustainability/stability/standardization;Standardization of the outcome format.;Ordinal: international standard/de facto standard/none;;;Y;
ubiquity;outcome;format;sustainability/adoption/ubiquity;Ubiquity or popularity of the outcome format.;Ordinal: ubiquitous/widespread/specialised/obsolete;;;Y;
usage restrictions possible;outcome;format;technicalProtectionMechanisms/usageRestrictionsPossible;Indicates whether usage restrictions can be applied to the outcome format.;Boolean;;;Y;
validation possibilities;outcome;format;sustainability/disclosure/validationPossibilities;Possibilies to validate the outcome format.;Ordinal: automatic/manual/none;;;Y;
database: context: archival process client machine present;outcome;IP;database/context/archivalProcess/clientMachinePresent;Indicates whether documentation of the client machine which executed the archival process is present.;Boolean;;;;
database: context: archival process connection url present;outcome;IP;database/context/archivalProcess/connectionURLPresent;Indicates whether the connection-url used to connect to the database for executing the archival process is documented.;Boolean;;;;
database: context: archival process executing user present;outcome;IP;database/context/archivalProcess/executingUserPresent;Indicates whether the executing user of the archival process is documented.;Boolean;;;;
database: context: archival process execution location present;outcome;IP;database/context/archivalProcess/executionLocationPresent;Indicates whether the executing user of the archival process is documented.;Boolean;;;;
database: context: archival process start time present;outcome;IP;database/context/archivalProcess/startTimePresent;Indicates whether the start of the archival process is documented.;Boolean;;;;
database: context: data dictionary present;outcome;IP;database/context/dataDictionary/present;Indicates whether a data dictionary is present in the database.;Boolean;;;;
database: context: data dictionary quality;outcome;IP;database/context/dataDictionary/quality;Indicates the quality of the present data dictionary.;Ordinal: not available/good/acceptable/bad;;;;
database: context: data model present;outcome;IP;database/context/dataModel/present;Indicates whether a data model is present in the database.;Boolean;;;;
database: context: data model quality;outcome;IP;database/context/dataModel/quality;Indicates the quality of the present data model.;Ordinal: not available/good/acceptable/bad;;;;
database: context: data model syntax;outcome;IP;database/context/dataModel/syntax;Syntax used in the present data model.;Ordinal: not available/ERD/UML/other;;;;
database: context: either the element metadata or the (external) data dictionary is present;outcome;IP;database/context/elementMetadataOrDataDictionaryPresent;Indicates whether metadata is present for each element. This means that either the element metadata or the (external) data dictionary must be present.;Boolean;;;;
database: context: original database product present;outcome;IP;database/context/originalDatabaseProductPresent;Indicates whether the original database product is documented.;Boolean;;;;
database: representation: datetimes according to SQL-99 standard;outcome;IP;database/representation/dateTimesAccordingToSQL99Standard;Indicates if datetime representations accord to SQL-99 standard.;Boolean;;;;
image: image quality;outcome;IP;image/quality;Judged quality of the whole image.;Ordinal: good/acceptable/poor;;;;
image: text quality;outcome;IP;image/textQuality;Judged text quality in the given image.;Ordinal: good/acceptable/poor;;;;
video game: audio: music synchronous to video;outcome;IP;videoGame/audio/music/synchronousToVideo;Indicates how synchronous music appears to the related video.;Ordinal: not applicable/severe errors apparent/small error noticeable/no error noticeable;;;;
video game: audio: sound synchronous to video;outcome;IP;videoGame/audio/sound/synchronousToVideo;Indicates how synchronous sound appears to the related video.;Ordinal: not applicable/severe errors apparent/small error noticeable/no error noticeable;;;;
video game: audio: speech synchronous to video;outcome;IP;videoGame/audio/speech/synchronousToVideo;Indicates how synchronous speech appears to the related video.;Ordinal: not applicable/severe errors apparent/small error noticeable/no error noticeable;;;;
video game: documentation: box artwork available;outcome;IP;videoGame/documentation/boxArtworkAvailable;Indicates whether box artwork is available.;Boolean;;;;
video game: documentation: manual available;outcome;IP;videoGame/documentation/manualAvailable;Indicates whether the manual is available.;Boolean;;;;
video game: documentation: original media available;outcome;IP;videoGame/documentation/originalMediaAvailable;Indicates whether information about the original game media is available.;Boolean;;;;
video game: documentation: systems requirements specification available;outcome;IP;videoGame/documentation/systemRequirementsSpecificationAvailable;Indicates whether an actual systems requirements specification is available.;Boolean;;;;
video game: game configuration;outcome;IP;videoGame/gameConfiguration;The way game configuration takes place.;Ordinal: manual/pre-configured/not needed;;;;
video game: game installation necessary;outcome;IP;videoGame/gameInstallationNecessary;Indicates whether it is necessary to install the game, before being able to play it.;Boolean;;;;
video game: game playable;outcome;IP;videoGame/gamePlayable;Indicates whether the game is playable.;Boolean;;;;
video game: game starts;outcome;IP;videoGame/gameStarts;Indicates whether the game starts. A game starts successfully if the start screen of the game shows up. A black screen after a start attempt is not enough to evaluate this property to true.;Boolean;;;;
video game: graphics: 2D background scrolling;outcome;IP;videoGame/graphics/2DBackgroundScrolling;Indicates how good 2D background scrolling is working.;Ordinal: no 2D objects displayed/not applicable/severe errors on whole image/errors noticeable but do not affect gameplay/no errors noticeable;;;;
video game: graphics: 2D collision detection;outcome;IP;videoGame/graphics/2DCollisionDetection;Indicates how good 2D collission detection is working.;Ordinal: no 2D objects displayed/not applicable/severe errors/errors noticeable but do not affect gameplay/no errors noticeable;;;;
video game: graphics: 2D object layer placement;outcome;IP;videoGame/graphics/2DObjectLayerPlacement;Indicates how good 2D object loayer placement is working.;Ordinal: no 2D objects displayed/not applicable/severe errors on whole image/errors noticeable but do not affect gameplay/no errors noticeable;;;;
video game: graphics: 2D object position placement;outcome;IP;videoGame/graphics/2DObjectPositionPlacement;Indicates how good 2D object position placement is working.;Ordinal: no 2D objects displayed/not applicable/severe errors on whole image/errors noticeable but do not affect gameplay/no errors noticeable;;;;
video game: graphics: 3D object calculation;outcome;IP;videoGame/graphics/3DObjectCalculation;Indicates how good 3D object calculation is working.;Ordinal: no 3D objects displayed/not applicable/severe errors on whole image/errors noticeable but do not affect gameplay/no errors noticeable;;;;
video game: graphics: 3D object clipping;outcome;IP;videoGame/graphics/3DObjectClipping;Indicates how good 3D object clipping is working.;Ordinal: no 3D objects displayed/not applicable/severe errors on whole image/errors noticeable but do not affect gameplay/no errors noticeable;;;;
video game: graphics: 3D texture quality;outcome;IP;videoGame/graphics/3DTextureQuality;Indicates the quality of 3D texture quality.;Ordinal: no 3D objects displayed/not applicable/severe errors on whole image/errors noticeable but do not affect gameplay/no errors noticeable;;;;
video game: graphics: screen overlay;outcome;IP;videoGame/graphics/screenOverlay;Indicates in which way screen overlays are supported.;Ordinal: not applicable/not supported/supported manually by loading image/supported by auto-detection/supported through encapsulation;;;;
video game: interactivity: additional items supported;outcome;IP;videoGame/interactivity/additionalItemsSupported;Indicates if additional items (like game boards used in role-playing games) are supported by the game emulation itself (and therefore are not required physical), or if they are not supported and therefore are required to be physically present - otherwise the game cannot be played.;Ordinal: not applicable/not supported/supported;;;;
video game: interactivity: original hardware: special controller audible feedback;outcome;IP;videoGame/interactivity/input/originalHardware/specialController/controllerFeedback/audible;Indicates original special controller audible feedback (if applicable).;Ordinal: not applicable/not supported/supported;;;;
video game: interactivity: original hardware: special controller force feedback;outcome;IP;videoGame/interactivity/input/originalHardware/specialController/controllerFeedback/force;Indicates original special controller force feedback (if applicable).;Ordinal: not applicable/not supported/supported;;;;
video game: interactivity: original hardware: special controller response delay;outcome;IP;videoGame/interactivity/input/originalHardware/specialController/responseDelay;Indicates original special controller response delay (if applicable).;Ordinal: not applicable/considerable delay/short delay/delay not noticeable;;;;
